Kommunenummer,Kommune,Kilde,InstallertKapasitet,Dato,SistOppdatert,År,Måned
4001,Porsgrunn,solar,7539.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4003,Skien,other,98.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4003,Skien,hydro,58930.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4003,Skien,solar,11248.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4003,Skien,solar,650.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4003,Skien,other,1100.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4005,Notodden,solar,2910.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4005,Notodden,hydro,204500.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4005,Notodden,solar,180.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4005,Notodden,other,0.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4010,Siljan,solar,440.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4010,Siljan,hydro,20700.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4012,Bamble,other,25.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4012,Bamble,solar,644.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4012,Bamble,solar,4660.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4014,Kragerø,solar,1926.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4014,Kragerø,hydro,22110.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4014,Kragerø,hydro,23.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4014,Kragerø,other,8.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4016,Drangedal,solar,677.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4016,Drangedal,hydro,10.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4016,Drangedal,other,63.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4016,Drangedal,hydro,14760.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4018,Nome,solar,1855.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4018,Nome,hydro,64925.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4018,Nome,other,55.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4020,Midt-Telemark,solar,5197.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4020,Midt-Telemark,other,63.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4022,Seljord,hydro,128323.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4022,Seljord,hydro,11.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4022,Seljord,solar,1185.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4024,Hjartdal,hydro,136631.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4024,Hjartdal,hydro,5.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4024,Hjartdal,solar,302.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4026,Tinn,solar,270.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4026,Tinn,hydro,701967.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4026,Tinn,other,76.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4028,Kviteseid,solar,1026.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4028,Kviteseid,hydro,15303.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4030,Nissedal,solar,406.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4030,Nissedal,thermal,480.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4030,Nissedal,hydro,132701.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4032,Fyresdal,solar,445.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4032,Fyresdal,hydro,135393.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4034,Tokke,hydro,1028000.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4034,Tokke,solar,126.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4036,Vinje,hydro,6300.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4036,Vinje,hydro,18.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4036,Vinje,solar,1147.0,2025-06-05,2025-06-23 14:28:25+02:00,2025,6
4001,Porsgrunn,solar,7539.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4001,Porsgrunn,other,13.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4001,Porsgrunn,solar,754.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4001,Porsgrunn,other,1180.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4003,Skien,hydro,58930.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4003,Skien,solar,11248.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4003,Skien,solar,650.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4003,Skien,other,1100.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4003,Skien,other,98.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4005,Notodden,other,0.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4005,Notodden,solar,180.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4005,Notodden,solar,2910.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4005,Notodden,hydro,204500.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4010,Siljan,solar,440.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4010,Siljan,hydro,20700.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4012,Bamble,solar,4660.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4012,Bamble,solar,644.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4012,Bamble,other,25.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4014,Kragerø,hydro,22110.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4014,Kragerø,hydro,23.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4014,Kragerø,other,8.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4014,Kragerø,solar,1926.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4016,Drangedal,hydro,14760.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4016,Drangedal,other,63.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4016,Drangedal,solar,677.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4016,Drangedal,hydro,10.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4018,Nome,other,55.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4018,Nome,hydro,64925.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
